# cpu:  AMD EPYC 9845 160-Core Processor
# cores: 8
# ram_gb: 16
# uname: Linux ark.s74.dev 6.8.0-124-generic #124-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 13:00:45 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux
# rustc: rustc 1.96.0 (ac68faa20 2026-05-25)
# date_utc: 2026-06-18T20:10:20Z
value_bytes,op,n,ws_mb,pomap_ns,hashbrown_ns,std_ns
8,get_hit,2730,0.1,23.04,21.95,18.44
8,get_miss,2730,0.1,18.82,12.77,10.91
8,insert,2730,0.1,37.48,31.63,30.13
8,remove,2730,0.1,39.45,34.30,35.72
8,get_hit,10922,0.2,21.05,19.57,17.93
8,get_miss,10922,0.2,21.65,13.60,10.47
8,insert,10922,0.2,34.86,31.91,29.56
8,remove,10922,0.2,39.43,29.63,29.65
8,get_hit,43690,1.0,16.55,14.09,14.57
8,get_miss,43690,1.0,19.53,11.33,11.15
8,insert,43690,1.0,41.93,24.80,23.80
8,remove,43690,1.0,27.46,22.63,22.01
8,get_hit,174762,4.0,18.45,12.73,13.44
8,get_miss,174762,4.0,18.93,12.23,10.67
8,insert,174762,4.0,55.21,34.95,34.15
8,remove,174762,4.0,32.53,32.31,31.13
8,get_hit,699050,16.0,23.51,22.28,18.32
8,get_miss,699050,16.0,22.16,13.67,11.77
8,insert,699050,16.0,57.47,53.29,51.13
8,remove,699050,16.0,53.28,47.46,47.40
8,get_hit,2097152,48.0,36.32,43.26,35.66
8,get_miss,2097152,48.0,33.77,16.81,13.93
8,insert,2097152,48.0,96.86,119.84,116.08
8,remove,2097152,48.0,92.89,107.89,88.83
8,get_hit,5592405,128.0,40.00,58.07,46.55
8,get_miss,5592405,128.0,36.23,33.78,25.64
8,insert,5592405,128.0,134.75,177.23,186.71
8,remove,5592405,128.0,123.55,162.80,162.16
16,get_hit,2048,0.1,24.50,28.55,23.77
16,get_miss,2048,0.1,22.94,11.36,9.69
16,insert,2048,0.1,39.92,37.64,35.61
16,remove,2048,0.1,39.28,42.53,44.04
16,get_hit,8192,0.2,23.56,26.84,22.57
16,get_miss,8192,0.2,23.41,13.87,10.94
16,insert,8192,0.2,41.67,36.02,33.49
16,remove,8192,0.2,37.11,38.27,42.12
16,get_hit,32768,1.0,16.23,23.89,19.70
16,get_miss,32768,1.0,20.78,11.68,10.35
16,insert,32768,1.0,46.54,24.34,23.84
16,remove,32768,1.0,28.06,24.02,22.33
16,get_hit,131072,4.0,19.68,21.29,21.44
16,get_miss,131072,4.0,19.93,11.82,9.60
16,insert,131072,4.0,52.15,37.54,35.24
16,remove,131072,4.0,30.28,32.13,31.43
16,get_hit,524288,16.0,23.59,27.01,23.25
16,get_miss,524288,16.0,23.03,12.95,10.43
16,insert,524288,16.0,62.17,54.11,48.51
16,remove,524288,16.0,55.79,51.00,50.95
16,get_hit,1572864,48.0,30.97,39.11,34.65
16,get_miss,1572864,48.0,30.83,21.82,17.93
16,insert,1572864,48.0,85.11,105.69,107.81
16,remove,1572864,48.0,75.09,81.15,79.88
16,get_hit,4194304,128.0,42.04,58.17,47.50
16,get_miss,4194304,128.0,38.70,30.92,21.41
16,insert,4194304,128.0,134.63,187.57,194.23
16,remove,4194304,128.0,128.82,158.71,164.91
32,get_hit,1365,0.1,26.38,29.88,25.23
32,get_miss,1365,0.1,25.19,14.80,11.50
32,insert,1365,0.1,40.51,50.34,40.08
32,remove,1365,0.1,57.95,44.21,46.00
32,get_hit,5461,0.2,23.52,29.38,24.30
32,get_miss,5461,0.2,24.64,14.27,12.33
32,insert,5461,0.2,41.44,40.35,38.81
32,remove,5461,0.2,43.21,41.32,39.68
32,get_hit,21845,1.0,20.24,27.90,22.70
32,get_miss,21845,1.0,24.31,14.62,11.19
32,insert,21845,1.0,44.94,30.28,27.06
32,remove,21845,1.0,31.11,26.40,25.05
32,get_hit,87381,4.0,22.82,26.21,24.04
32,get_miss,87381,4.0,24.26,13.19,11.32
32,insert,87381,4.0,56.41,32.97,31.37
32,remove,87381,4.0,36.29,33.72,29.98
32,get_hit,349525,16.0,29.54,25.59,22.44
32,get_miss,349525,16.0,23.85,14.45,12.01
32,insert,349525,16.0,61.46,47.46,47.21
32,remove,349525,16.0,55.90,47.42,47.24
32,get_hit,1048576,48.0,33.32,35.78,31.11
32,get_miss,1048576,48.0,31.50,14.51,11.12
32,insert,1048576,48.0,83.53,98.54,97.95
32,remove,1048576,48.0,83.03,68.65,68.73
32,get_hit,2796202,128.0,41.58,50.51,41.79
32,get_miss,2796202,128.0,36.79,22.29,17.95
32,insert,2796202,128.0,114.43,156.19,148.20
32,remove,2796202,128.0,102.18,120.08,114.93
64,get_hit,819,0.1,26.15,29.87,27.49
64,get_miss,819,0.1,26.27,17.89,14.64
64,insert,819,0.1,46.87,45.49,45.22
64,remove,819,0.1,45.64,45.24,43.50
64,get_hit,3276,0.2,25.12,30.56,26.29
64,get_miss,3276,0.2,26.96,20.37,15.19
64,insert,3276,0.2,48.65,46.93,46.76
64,remove,3276,0.2,49.08,49.84,44.81
64,get_hit,13107,1.0,21.14,29.84,26.84
64,get_miss,13107,1.0,27.56,18.23,16.09
64,insert,13107,1.0,46.95,37.73,36.07
64,remove,13107,1.0,30.05,29.86,25.23
64,get_hit,52428,4.0,20.78,28.90,26.13
64,get_miss,52428,4.0,25.24,17.40,15.84
64,insert,52428,4.0,59.66,39.15,31.35
64,remove,52428,4.0,33.59,31.27,29.34
64,get_hit,209715,16.0,22.55,28.71,27.06
64,get_miss,209715,16.0,27.60,17.88,16.87
64,insert,209715,16.0,74.37,52.14,51.97
64,remove,209715,16.0,62.25,44.99,42.99
64,get_hit,629145,48.0,35.72,34.07,29.29
64,get_miss,629145,48.0,34.17,14.50,11.85
64,insert,629145,48.0,99.64,103.45,100.21
64,remove,629145,48.0,94.46,69.66,63.40
64,get_hit,1677721,128.0,40.12,42.79,35.66
64,get_miss,1677721,128.0,36.23,22.67,19.32
64,insert,1677721,128.0,109.84,134.30,122.97
64,remove,1677721,128.0,102.63,96.41,86.42
