# host: MacBook-Pro-2.local
# uname: Darwin MacBook-Pro-2.local 25.5.0 Darwin Kernel Version 25.5.0: Mon Apr 27 20:39:42 PDT 2026; root:xnu-12377.121.6~2/RELEASE_ARM64_T6031 arm64
# cpu: Apple M3 Max
# cores: 16
# rustc: rustc 1.96.0 (ac68faa20 2026-05-25)
# date_utc: 2026-06-18T17:30:44Z
value_bytes,op,n,ws_mb,pomap_ns,hashbrown_ns,std_ns
8,get_hit,2730,0.1,10.97,6.81,7.59
8,get_miss,2730,0.1,10.47,7.86,7.16
8,insert,2730,0.1,11.29,7.31,6.93
8,remove,2730,0.1,10.38,15.77,15.43
8,get_hit,10922,0.2,8.82,7.48,6.12
8,get_miss,10922,0.2,8.43,7.59,5.97
8,insert,10922,0.2,13.41,10.98,8.10
8,remove,10922,0.2,12.66,15.87,15.17
8,get_hit,43690,1.0,8.71,8.40,6.20
8,get_miss,43690,1.0,9.17,8.03,8.45
8,insert,43690,1.0,13.45,10.91,10.83
8,remove,43690,1.0,14.29,17.02,14.56
8,get_hit,174762,4.0,12.21,7.65,7.51
8,get_miss,174762,4.0,12.95,9.53,7.39
8,insert,174762,4.0,12.44,10.27,14.03
8,remove,174762,4.0,16.21,17.41,14.79
8,get_hit,699050,16.0,20.05,20.71,16.32
8,get_miss,699050,16.0,17.97,10.51,10.58
8,insert,699050,16.0,23.17,19.95,20.49
8,remove,699050,16.0,31.14,25.69,25.97
8,get_hit,2097152,48.0,25.41,33.07,29.66
8,get_miss,2097152,48.0,26.99,12.74,12.46
8,insert,2097152,48.0,34.47,32.52,30.40
8,remove,2097152,48.0,37.72,40.77,36.53
8,get_hit,5592405,128.0,24.79,39.59,33.45
8,get_miss,5592405,128.0,25.86,20.01,18.65
8,insert,5592405,128.0,43.02,40.51,36.44
8,remove,5592405,128.0,37.47,45.99,45.22
16,get_hit,2048,0.1,10.86,9.79,8.18
16,get_miss,2048,0.1,10.34,7.12,6.10
16,insert,2048,0.1,15.52,10.36,9.60
16,remove,2048,0.1,15.16,13.06,17.84
16,get_hit,8192,0.2,11.50,9.34,7.57
16,get_miss,8192,0.2,11.16,5.80,5.20
16,insert,8192,0.2,14.44,9.86,12.61
16,remove,8192,0.2,17.63,12.77,12.62
16,get_hit,32768,1.0,14.11,8.74,8.66
16,get_miss,32768,1.0,10.58,5.43,5.09
16,insert,32768,1.0,16.38,9.62,13.22
16,remove,32768,1.0,16.26,14.32,13.86
16,get_hit,131072,4.0,13.04,11.48,9.03
16,get_miss,131072,4.0,13.31,7.01,5.92
16,insert,131072,4.0,21.44,13.37,11.82
16,remove,131072,4.0,22.29,17.31,16.01
16,get_hit,524288,16.0,18.73,21.16,18.06
16,get_miss,524288,16.0,17.44,8.89,6.98
16,insert,524288,16.0,30.26,25.41,22.17
16,remove,524288,16.0,33.20,28.71,32.05
16,get_hit,1572864,48.0,23.35,28.12,25.40
16,get_miss,1572864,48.0,21.83,16.41,15.44
16,insert,1572864,48.0,29.99,32.26,27.88
16,remove,1572864,48.0,35.39,41.49,44.05
16,get_hit,4194304,128.0,29.77,39.89,34.53
16,get_miss,4194304,128.0,26.07,20.20,16.99
16,insert,4194304,128.0,40.19,39.76,39.76
16,remove,4194304,128.0,51.86,52.72,54.43
32,get_hit,1365,0.1,11.05,9.55,9.58
32,get_miss,1365,0.1,11.36,7.97,7.17
32,insert,1365,0.1,26.04,15.20,13.89
32,remove,1365,0.1,22.25,23.32,18.86
32,get_hit,5461,0.2,11.49,8.60,8.02
32,get_miss,5461,0.2,11.48,7.39,8.05
32,insert,5461,0.2,15.12,10.87,12.51
32,remove,5461,0.2,15.95,15.88,18.34
32,get_hit,21845,1.0,11.31,8.74,10.69
32,get_miss,21845,1.0,13.31,8.42,8.50
32,insert,21845,1.0,18.77,10.92,13.44
32,remove,21845,1.0,15.99,16.48,20.52
32,get_hit,87381,4.0,13.85,12.75,11.36
32,get_miss,87381,4.0,13.73,8.62,8.66
32,insert,87381,4.0,20.24,18.01,16.75
32,remove,87381,4.0,20.05,19.84,18.00
32,get_hit,349525,16.0,18.90,17.30,16.84
32,get_miss,349525,16.0,19.46,8.73,8.85
32,insert,349525,16.0,29.25,27.16,27.11
32,remove,349525,16.0,30.39,30.90,31.29
32,get_hit,1048576,48.0,25.64,29.49,24.71
32,get_miss,1048576,48.0,24.43,10.58,9.21
32,insert,1048576,48.0,46.64,35.43,36.39
32,remove,1048576,48.0,47.98,38.13,39.20
32,get_hit,2796202,128.0,25.73,36.12,32.68
32,get_miss,2796202,128.0,23.94,21.19,15.82
32,insert,2796202,128.0,45.55,47.57,41.03
32,remove,2796202,128.0,52.73,54.15,50.99
