# cpu: Apple M5 Max
# cores: 18
# ram_gb: 128
# uname: Darwin MacBook-Pro-2.local 25.5.0 Darwin Kernel Version 25.5.0: Mon Apr 27 20:41:12 PDT 2026; root:xnu-12377.121.6~2/RELEASE_ARM64_T6050 arm64
# rustc: rustc 1.96.0 (ac68faa20 2026-05-25)
# date_utc: 2026-06-24T05:43:19Z
value_bytes,op,n,ws_mb,pomap_ns,hashbrown_ns,std_ns
8,get_hit,2730,0.1,6.53,3.75,3.30
8,get_miss,2730,0.1,6.64,5.11,4.82
8,insert,2730,0.1,8.33,4.69,4.58
8,remove,2730,0.1,6.87,10.78,10.65
8,get_hit,10922,0.2,6.22,4.05,3.36
8,get_miss,10922,0.2,6.47,4.92,5.19
8,insert,10922,0.2,9.12,5.04,5.31
8,remove,10922,0.2,7.71,10.99,10.24
8,get_hit,43690,1.0,6.51,4.07,3.74
8,get_miss,43690,1.0,6.41,5.07,4.53
8,insert,43690,1.0,8.95,6.28,5.15
8,remove,43690,1.0,8.53,10.23,9.78
8,get_hit,174762,4.0,7.71,4.48,4.48
8,get_miss,174762,4.0,8.40,5.71,5.31
8,insert,174762,4.0,11.91,6.06,5.98
8,remove,174762,4.0,9.46,11.27,10.45
8,get_hit,699050,16.0,10.16,7.45,6.82
8,get_miss,699050,16.0,10.78,5.54,5.37
8,insert,699050,16.0,15.06,9.15,7.43
8,remove,699050,16.0,14.09,13.01,12.30
8,get_hit,2097152,48.0,16.19,15.47,13.18
8,get_miss,2097152,48.0,15.30,5.63,4.93
8,insert,2097152,48.0,21.92,13.63,11.74
8,remove,2097152,48.0,22.54,19.69,18.65
8,get_hit,5592405,128.0,15.90,18.59,16.48
8,get_miss,5592405,128.0,14.93,9.93,9.19
8,insert,5592405,128.0,18.74,17.92,16.56
8,remove,5592405,128.0,23.41,23.36,22.40
16,get_hit,2048,0.1,7.37,5.25,4.37
16,get_miss,2048,0.1,7.77,3.01,3.46
16,insert,2048,0.1,9.81,6.37,6.16
16,remove,2048,0.1,10.88,8.28,7.83
16,get_hit,8192,0.2,9.02,4.88,4.52
16,get_miss,8192,0.2,8.29,3.46,2.89
16,insert,8192,0.2,11.05,6.22,6.05
16,remove,8192,0.2,11.50,8.41,8.84
16,get_hit,32768,1.0,8.23,5.13,4.74
16,get_miss,32768,1.0,8.43,3.53,3.23
16,insert,32768,1.0,11.07,7.68,6.60
16,remove,32768,1.0,11.74,9.17,8.16
16,get_hit,131072,4.0,8.57,5.70,6.41
16,get_miss,131072,4.0,10.14,3.54,3.29
16,insert,131072,4.0,12.11,8.06,8.10
16,remove,131072,4.0,13.08,10.60,8.99
16,get_hit,524288,16.0,11.33,9.31,8.14
16,get_miss,524288,16.0,11.78,3.57,3.27
16,insert,524288,16.0,17.23,11.54,9.77
16,remove,524288,16.0,16.94,14.41,13.07
16,get_hit,1572864,48.0,13.13,13.19,12.38
16,get_miss,1572864,48.0,12.99,9.16,8.63
16,insert,1572864,48.0,17.91,15.69,13.13
16,remove,1572864,48.0,21.61,21.21,19.44
16,get_hit,4194304,128.0,17.31,18.80,16.51
16,get_miss,4194304,128.0,16.43,7.39,6.82
16,insert,4194304,128.0,24.03,19.33,17.33
16,remove,4194304,128.0,29.27,25.75,24.64
32,get_hit,1365,0.1,7.30,5.46,4.79
32,get_miss,1365,0.1,8.45,5.10,5.13
32,insert,1365,0.1,12.58,8.67,7.78
32,remove,1365,0.1,9.34,12.21,10.84
32,get_hit,5461,0.2,7.39,5.73,5.22
32,get_miss,5461,0.2,8.06,4.94,3.97
32,insert,5461,0.2,13.25,8.74,8.66
32,remove,5461,0.2,10.19,12.55,11.44
32,get_hit,21845,1.0,7.49,5.53,5.21
32,get_miss,21845,1.0,8.82,5.29,5.14
32,insert,21845,1.0,13.16,9.85,8.11
32,remove,21845,1.0,10.68,12.16,11.66
32,get_hit,87381,4.0,8.11,5.88,5.57
32,get_miss,87381,4.0,8.31,5.17,5.09
32,insert,87381,4.0,14.18,10.16,9.62
32,remove,87381,4.0,11.87,12.84,12.16
32,get_hit,349525,16.0,10.44,8.86,8.17
32,get_miss,349525,16.0,10.17,5.41,5.34
32,insert,349525,16.0,18.26,15.24,12.62
32,remove,349525,16.0,15.56,14.81,14.04
32,get_hit,1048576,48.0,15.22,13.47,11.82
32,get_miss,1048576,48.0,15.15,4.24,3.95
32,insert,1048576,48.0,26.31,19.21,16.95
32,remove,1048576,48.0,25.85,21.32,21.38
32,get_hit,2796202,128.0,15.55,17.40,15.42
32,get_miss,2796202,128.0,14.85,7.97,7.62
32,insert,2796202,128.0,23.94,21.02,20.05
32,remove,2796202,128.0,30.16,27.88,28.23
64,get_hit,819,0.1,9.06,8.14,7.17
64,get_miss,819,0.1,9.56,10.23,9.56
64,insert,819,0.1,19.28,14.19,12.72
64,remove,819,0.1,13.58,12.97,10.89
64,get_hit,3276,0.2,8.43,7.20,7.14
64,get_miss,3276,0.2,9.65,10.43,10.01
64,insert,3276,0.2,19.05,14.44,12.62
64,remove,3276,0.2,15.20,12.29,11.04
64,get_hit,13107,1.0,8.91,6.50,6.21
64,get_miss,13107,1.0,9.07,9.38,9.75
64,insert,13107,1.0,19.66,14.72,12.50
64,remove,13107,1.0,15.01,12.47,12.13
64,get_hit,52428,4.0,8.96,7.12,7.55
64,get_miss,52428,4.0,9.62,9.66,10.21
64,insert,52428,4.0,20.72,14.64,14.31
64,remove,52428,4.0,17.33,13.27,12.15
64,get_hit,209715,16.0,10.73,9.29,9.11
64,get_miss,209715,16.0,11.26,10.72,10.17
64,insert,209715,16.0,25.87,20.46,18.53
64,remove,209715,16.0,23.22,17.07,13.91
64,get_hit,629145,48.0,17.63,12.84,11.05
64,get_miss,629145,48.0,18.17,4.70,4.40
64,insert,629145,48.0,41.83,25.37,23.57
64,remove,629145,48.0,36.87,28.53,27.90
64,get_hit,1677721,128.0,16.11,16.53,14.35
64,get_miss,1677721,128.0,15.53,12.00,11.51
64,insert,1677721,128.0,34.74,28.24,27.13
64,remove,1677721,128.0,45.12,37.94,38.34
