# cpu:  AMD EPYC 9354P 32-Core Processor
# cores: 64
# config: value_words={1 2 4 8} ws_mb=256 passes=30
# events: instructions,cycles,cache-misses,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-load-misses
# date_utc: 2026-06-24T05:48:48Z
impl,op,value_words,ws_mb,ops,instr_per_op,cyc_per_op,ipc,l1miss_per_op,llcmiss_per_op,dtlbmiss_per_op,cachemiss_per_op
pomap,get_hit,1,256,335544300,58.0,168.1,0.345,2.7858,0.0000,1.9995,3.6255
pomap,get_miss,1,256,335544300,50.6,151.9,0.333,2.6227,0.0000,1.9967,3.4404
hashbrown,get_hit,1,256,335544300,75.7,247.6,0.306,3.6679,0.0000,2.8034,4.4635
hashbrown,get_miss,1,256,335544300,70.6,147.5,0.478,2.7454,0.0000,1.7801,2.8304
std,get_hit,1,256,335544300,75.7,247.7,0.305,3.6646,0.0000,2.8038,4.4712
std,get_miss,1,256,335544300,69.4,143.6,0.484,2.7455,0.0000,1.7803,2.8328
pomap,get_hit,2,256,251658240,61.7,178.7,0.345,3.1280,0.0000,1.9749,3.8183
pomap,get_miss,2,256,251658240,53.7,160.9,0.334,3.0755,0.0000,1.9736,3.7562
hashbrown,get_hit,2,256,251658240,73.9,220.5,0.335,3.7364,0.0000,2.7978,4.4429
hashbrown,get_miss,2,256,251658240,71.5,140.1,0.510,2.7743,0.0000,1.7239,2.7144
std,get_hit,2,256,251658240,73.8,220.7,0.335,3.7321,0.0000,2.7977,4.4807
std,get_miss,2,256,251658240,70.4,139.6,0.504,2.7705,0.0000,1.7240,2.6835
pomap,get_hit,4,256,167772150,67.5,178.9,0.377,3.0236,0.0000,1.9378,3.4980
pomap,get_miss,4,256,167772150,59.0,163.4,0.361,3.0760,0.0000,1.9386,3.5519
hashbrown,get_hit,4,256,167772150,76.0,194.2,0.391,3.8068,0.0000,2.5585,4.2796
hashbrown,get_miss,4,256,167772150,75.7,123.5,0.613,2.8925,0.0000,1.4262,2.6918
std,get_hit,4,256,167772150,77.0,195.9,0.393,3.8099,0.0000,2.5582,4.2814
std,get_miss,4,256,167772150,74.6,122.9,0.607,2.8939,0.0000,1.4264,2.6859
pomap,get_hit,8,256,100663290,76.2,191.2,0.398,3.6006,0.0000,1.8633,3.7977
pomap,get_miss,8,256,100663290,67.9,175.1,0.388,3.6941,0.0000,1.8653,3.9065
hashbrown,get_hit,8,256,100663290,84.3,183.6,0.459,3.9853,0.0000,2.1989,4.1750
hashbrown,get_miss,8,256,100663290,87.7,126.2,0.695,3.3512,0.0000,1.0560,2.8539
std,get_hit,8,256,100663290,84.2,183.9,0.458,3.9831,0.0000,2.1990,4.1725
std,get_miss,8,256,100663290,86.5,122.1,0.708,3.3470,0.0000,1.0559,2.8417
