# cpu:  AMD EPYC 9845 160-Core Processor
# cores: 8
# config: value_words={1 2 4 8} ws_mb=256 passes=30
# events: instructions,cycles,cache-misses,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-load-misses
# date_utc: 2026-06-19T04:03:37Z
impl,op,value_words,ws_mb,ops,instr_per_op,cyc_per_op,ipc,l1miss_per_op,llcmiss_per_op,dtlbmiss_per_op,cachemiss_per_op
pomap,get_hit,1,256,335544300,56.8,179.6,0.316,2.6378,0.0000,2.0209,3.6560
pomap,get_miss,1,256,335544300,50.2,162.0,0.310,2.4508,0.0000,2.0033,3.4514
hashbrown,get_hit,1,256,335544300,79.5,280.5,0.284,3.5491,0.0000,2.6398,4.5239
hashbrown,get_miss,1,256,335544300,74.6,176.1,0.424,2.6661,0.0000,1.6624,2.8293
std,get_hit,1,256,335544300,66.3,214.5,0.309,3.5519,0.0000,2.1460,4.4734
std,get_miss,1,256,335544300,66.2,134.0,0.494,2.6581,0.0000,1.6551,2.7671
pomap,get_hit,2,256,251658240,59.5,187.9,0.317,3.0790,0.0000,2.0318,3.9566
pomap,get_miss,2,256,251658240,53.2,171.5,0.310,3.0140,0.0000,1.6884,3.8881
hashbrown,get_hit,2,256,251658240,81.8,285.1,0.287,3.5669,0.0000,2.6693,4.5290
hashbrown,get_miss,2,256,251658240,76.4,165.2,0.463,2.6224,0.0000,0.6362,2.7150
std,get_hit,2,256,251658240,69.6,220.3,0.316,3.5718,0.0000,2.6707,4.4862
std,get_miss,2,256,251658240,67.2,132.3,0.508,2.6216,0.0000,1.5747,2.6366
pomap,get_hit,4,256,167772150,65.1,184.7,0.353,2.6801,0.0000,1.9132,3.4877
pomap,get_miss,4,256,167772150,58.5,169.2,0.346,2.6579,0.0000,1.8673,3.4567
hashbrown,get_hit,4,256,167772150,84.9,256.3,0.331,3.6089,0.0000,2.3642,4.3532
hashbrown,get_miss,4,256,167772150,80.9,147.9,0.547,2.7156,0.0000,1.2137,2.6704
std,get_hit,4,256,167772150,72.7,196.0,0.371,3.6028,0.0000,2.3627,4.2855
std,get_miss,4,256,167772150,71.5,115.3,0.620,2.7044,0.0000,1.1764,2.6193
pomap,get_hit,8,256,100663290,73.7,187.7,0.393,3.1409,0.0000,1.8234,3.8418
pomap,get_miss,8,256,100663290,67.2,176.7,0.380,3.0336,0.0000,1.8023,3.7305
hashbrown,get_hit,8,256,100663290,92.1,223.4,0.412,3.6840,0.0000,1.9738,4.2046
hashbrown,get_miss,8,256,100663290,93.6,132.1,0.709,3.0581,0.0000,0.8382,2.8065
std,get_hit,8,256,100663290,79.9,179.8,0.444,3.6829,0.0000,1.9746,4.1731
std,get_miss,8,256,100663290,83.7,112.9,0.741,3.0450,0.0000,0.8314,2.8089
