# cpu:  AMD EPYC 9354P 32-Core Processor
# cores: 64
# ram_gb: 755
# uname: Linux dev-samjohnson 6.8.0-111-generic #111-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 23:16:02 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux
# rustc: rustc 1.90.0 (1159e78c4 2025-09-14)
# date_utc: 2026-06-24T05:47:49Z
value_bytes,op,n,ws_mb,pomap_ns,hashbrown_ns,std_ns
8,get_hit,2730,0.1,20.23,14.08,13.90
8,get_miss,2730,0.1,18.04,9.82,10.85
8,insert,2730,0.1,22.80,13.82,13.53
8,remove,2730,0.1,29.92,19.40,20.03
8,get_hit,10922,0.2,18.32,13.95,14.09
8,get_miss,10922,0.2,18.21,10.70,10.06
8,insert,10922,0.2,22.92,13.26,13.25
8,remove,10922,0.2,25.66,17.33,19.10
8,get_hit,43690,1.0,17.04,13.00,13.39
8,get_miss,43690,1.0,17.63,10.48,10.97
8,insert,43690,1.0,25.96,13.32,12.23
8,remove,43690,1.0,22.12,14.85,15.43
8,get_hit,174762,4.0,24.22,15.15,15.16
8,get_miss,174762,4.0,20.33,11.19,11.29
8,insert,174762,4.0,30.70,17.06,15.43
8,remove,174762,4.0,36.37,18.88,18.54
8,get_hit,699050,16.0,27.31,28.51,28.00
8,get_miss,699050,16.0,24.13,15.69,13.55
8,insert,699050,16.0,32.94,30.39,28.73
8,remove,699050,16.0,39.50,31.84,32.69
8,get_hit,2097152,48.0,38.14,41.77,42.12
8,get_miss,2097152,48.0,32.32,17.36,16.83
8,insert,2097152,48.0,49.42,57.58,57.08
8,remove,2097152,48.0,56.55,52.16,51.86
8,get_hit,5592405,128.0,42.36,53.71,53.68
8,get_miss,5592405,128.0,34.98,26.39,26.36
8,insert,5592405,128.0,48.35,69.13,69.00
8,remove,5592405,128.0,59.70,66.53,66.82
16,get_hit,2048,0.1,21.75,18.06,19.35
16,get_miss,2048,0.1,19.75,9.42,9.80
16,insert,2048,0.1,25.19,19.30,19.34
16,remove,2048,0.1,25.35,30.25,25.33
16,get_hit,8192,0.2,21.71,17.65,19.02
16,get_miss,8192,0.2,20.35,9.76,9.65
16,insert,8192,0.2,25.25,18.03,18.77
16,remove,8192,0.2,23.70,23.51,23.14
16,get_hit,32768,1.0,17.15,17.66,17.88
16,get_miss,32768,1.0,19.28,9.10,9.48
16,insert,32768,1.0,28.99,15.69,15.74
16,remove,32768,1.0,20.48,15.51,15.96
16,get_hit,131072,4.0,25.56,20.27,20.40
16,get_miss,131072,4.0,20.96,10.03,9.95
16,insert,131072,4.0,35.80,19.80,18.82
16,remove,131072,4.0,23.19,19.94,20.25
16,get_hit,524288,16.0,28.41,29.30,30.02
16,get_miss,524288,16.0,26.54,13.74,12.00
16,insert,524288,16.0,36.18,34.88,34.55
16,remove,524288,16.0,38.50,37.66,40.72
16,get_hit,1572864,48.0,34.29,34.59,35.46
16,get_miss,1572864,48.0,29.19,19.69,19.01
16,insert,1572864,48.0,44.05,56.29,57.12
16,remove,1572864,48.0,52.23,50.19,49.66
16,get_hit,4194304,128.0,44.34,46.56,47.00
16,get_miss,4194304,128.0,37.12,23.73,24.02
16,insert,4194304,128.0,55.90,79.44,78.79
16,remove,4194304,128.0,68.00,66.87,66.99
32,get_hit,1365,0.1,23.22,19.68,20.72
32,get_miss,1365,0.1,20.85,9.56,11.05
32,insert,1365,0.1,29.76,25.34,24.95
32,remove,1365,0.1,32.90,28.23,32.16
32,get_hit,5461,0.2,20.83,19.52,20.17
32,get_miss,5461,0.2,21.11,10.37,10.61
32,insert,5461,0.2,29.52,25.67,24.23
32,remove,5461,0.2,30.62,25.66,27.44
32,get_hit,21845,1.0,20.66,19.08,20.09
32,get_miss,21845,1.0,21.33,10.53,11.36
32,insert,21845,1.0,32.64,23.35,21.42
32,remove,21845,1.0,24.94,19.89,20.65
32,get_hit,87381,4.0,25.56,20.55,21.43
32,get_miss,87381,4.0,22.81,11.31,11.56
32,insert,87381,4.0,36.73,36.73,25.72
32,remove,87381,4.0,39.43,25.34,22.91
32,get_hit,349525,16.0,28.47,27.79,30.61
32,get_miss,349525,16.0,26.80,12.90,13.07
32,insert,349525,16.0,37.81,35.16,36.50
32,remove,349525,16.0,42.89,41.84,41.76
32,get_hit,1048576,48.0,35.40,32.09,34.08
32,get_miss,1048576,48.0,32.39,14.84,13.43
32,insert,1048576,48.0,54.36,78.83,78.67
32,remove,1048576,48.0,58.38,48.89,47.98
32,get_hit,2796202,128.0,41.08,41.29,41.53
32,get_miss,2796202,128.0,36.12,20.41,20.46
32,insert,2796202,128.0,54.98,81.90,81.76
32,remove,2796202,128.0,61.38,61.10,61.32
64,get_hit,819,0.1,24.37,22.60,24.19
64,get_miss,819,0.1,23.02,11.47,14.02
64,insert,819,0.1,42.41,37.90,36.90
64,remove,819,0.1,41.03,35.40,36.26
64,get_hit,3276,0.2,23.02,22.45,23.24
64,get_miss,3276,0.2,23.33,12.79,14.68
64,insert,3276,0.2,41.75,36.51,36.59
64,remove,3276,0.2,39.06,32.77,34.02
64,get_hit,13107,1.0,20.24,21.84,23.45
64,get_miss,13107,1.0,22.78,13.80,14.68
64,insert,13107,1.0,46.21,34.20,32.96
64,remove,13107,1.0,31.91,25.37,26.64
64,get_hit,52428,4.0,27.20,22.90,23.95
64,get_miss,52428,4.0,27.14,15.54,15.95
64,insert,52428,4.0,53.72,39.42,36.90
64,remove,52428,4.0,35.68,29.13,29.12
64,get_hit,209715,16.0,29.84,25.75,26.92
64,get_miss,209715,16.0,27.82,16.83,17.12
64,insert,209715,16.0,54.76,45.53,46.48
64,remove,209715,16.0,50.41,46.96,48.53
64,get_hit,629145,48.0,37.50,31.15,32.29
64,get_miss,629145,48.0,34.61,15.82,13.43
64,insert,629145,48.0,77.02,103.85,102.14
64,remove,629145,48.0,75.30,56.63,57.44
64,get_hit,1677721,128.0,40.72,36.60,37.42
64,get_miss,1677721,128.0,36.24,22.72,22.78
64,insert,1677721,128.0,76.88,102.39,102.14
64,remove,1677721,128.0,79.25,62.71,64.03
