# cpu: Apple M5 Max
# cores: 18
# ram_gb: 128
# uname: Darwin Sams-MacBook-Pro.local 25.5.0 Darwin Kernel Version 25.5.0: Tue Jun  9 22:28:34 PDT 2026; root:xnu-12377.121.10~1/RELEASE_ARM64_T6050 arm64
# rustc: rustc 1.97.1 (8bab26f4f 2026-07-14)
# date_utc: 2026-08-18T06:04:05Z
value_bytes,op,n,ws_mb,pomap_ns,hashbrown_ns,std_ns
8,get_hit,2730,0.1,6.39,3.88,3.80
8,get_miss,2730,0.1,6.91,3.88,5.11
8,insert,2730,0.1,8.41,4.98,4.81
8,remove,2730,0.1,7.74,10.58,10.32
8,get_hit,10922,0.2,6.42,4.02,3.70
8,get_miss,10922,0.2,6.42,3.81,5.04
8,insert,10922,0.2,8.66,5.31,5.39
8,remove,10922,0.2,8.29,10.69,10.17
8,get_hit,43690,1.0,6.59,4.24,3.98
8,get_miss,43690,1.0,6.80,4.50,5.03
8,insert,43690,1.0,9.58,6.06,5.91
8,remove,43690,1.0,10.40,10.92,10.60
8,get_hit,174762,4.0,8.78,6.20,5.58
8,get_miss,174762,4.0,9.90,5.51,5.31
8,insert,174762,4.0,13.30,5.76,6.19
8,remove,174762,4.0,10.08,11.63,10.97
8,get_hit,699050,16.0,11.50,8.70,8.16
8,get_miss,699050,16.0,11.53,5.81,5.62
8,insert,699050,16.0,16.14,10.65,8.63
8,remove,699050,16.0,17.26,15.13,13.66
8,get_hit,2097152,48.0,17.14,17.46,16.33
8,get_miss,2097152,48.0,16.16,6.66,6.24
8,insert,2097152,48.0,23.75,15.30,13.05
8,remove,2097152,48.0,25.06,22.60,20.95
8,get_hit,5592405,128.0,16.58,20.46,17.89
8,get_miss,5592405,128.0,15.94,12.43,10.41
8,insert,5592405,128.0,19.60,19.16,21.29
8,remove,5592405,128.0,24.88,25.24,24.51
16,get_hit,2048,0.1,7.45,4.62,4.19
16,get_miss,2048,0.1,7.67,2.99,3.52
16,insert,2048,0.1,9.73,5.62,6.04
16,remove,2048,0.1,11.27,8.22,8.30
16,get_hit,8192,0.2,7.80,5.25,4.48
16,get_miss,8192,0.2,7.52,3.07,2.94
16,insert,8192,0.2,10.58,6.67,6.33
16,remove,8192,0.2,11.87,8.42,7.54
16,get_hit,32768,1.0,8.41,5.17,4.98
16,get_miss,32768,1.0,8.90,4.07,2.87
16,insert,32768,1.0,10.93,6.84,6.44
16,remove,32768,1.0,12.13,9.12,8.14
16,get_hit,131072,4.0,10.27,7.97,6.41
16,get_miss,131072,4.0,10.45,3.84,3.39
16,insert,131072,4.0,13.71,9.11,8.73
16,remove,131072,4.0,13.57,12.41,10.16
16,get_hit,524288,16.0,13.99,12.01,10.85
