# cpu:  AMD EPYC 9845 160-Core Processor
# cores: 8
# config: value_words={1 2 4 8} ws_mb=256 passes=30
# events: instructions,cycles,cache-misses,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-load-misses
# date_utc: 2026-06-24T18:35:36Z
impl,op,value_words,ws_mb,ops,instr_per_op,cyc_per_op,ipc,l1miss_per_op,llcmiss_per_op,dtlbmiss_per_op,cachemiss_per_op
pomap,get_hit,1,256,335544300,56.8,181.1,0.314,2.6364,0.0000,1.8426,3.6420
pomap,get_miss,1,256,335544300,50.2,164.2,0.306,2.4501,0.0000,2.0013,3.4625
hashbrown,get_hit,1,256,335544300,79.6,290.7,0.274,3.5514,0.0000,2.1454,4.5831
hashbrown,get_miss,1,256,335544300,74.6,178.7,0.418,2.6675,0.0000,1.3454,2.8339
std,get_hit,1,256,335544300,66.3,224.4,0.295,3.5522,0.0000,2.5905,4.4768
std,get_miss,1,256,335544300,66.2,138.0,0.480,2.6620,0.0000,1.6575,2.7799
pomap,get_hit,2,256,251658240,59.5,191.7,0.310,3.0824,0.0000,2.0328,3.9714
pomap,get_miss,2,256,251658240,53.2,175.1,0.304,3.0291,0.0000,1.6204,3.9014
hashbrown,get_hit,2,256,251658240,81.8,291.0,0.281,3.5641,0.0000,2.1092,4.5770
hashbrown,get_miss,2,256,251658240,76.4,181.5,0.421,2.6297,0.0000,1.5774,2.6944
std,get_hit,2,256,251658240,69.6,226.8,0.307,3.5697,0.0000,2.6709,4.4870
std,get_miss,2,256,251658240,67.2,134.8,0.499,2.6259,0.0000,1.5754,2.6477
pomap,get_hit,4,256,167772150,65.1,189.4,0.344,2.6828,0.0000,1.9240,3.4934
pomap,get_miss,4,256,167772150,58.5,172.2,0.340,2.6612,0.0000,1.7358,3.4763
hashbrown,get_hit,4,256,167772150,84.9,259.9,0.327,3.6084,0.0000,2.3642,4.3434
hashbrown,get_miss,4,256,167772150,80.9,146.2,0.553,2.7080,0.0000,0.8996,2.6525
std,get_hit,4,256,167772150,72.7,200.3,0.363,3.6051,0.0000,2.3553,4.3106
std,get_miss,4,256,167772150,71.5,115.7,0.618,2.7047,0.0000,0.9045,2.6415
pomap,get_hit,8,256,100663290,73.7,192.1,0.384,3.1361,0.0000,1.8239,3.8375
pomap,get_miss,8,256,100663290,67.2,181.6,0.370,3.0335,0.0000,1.7534,3.7104
hashbrown,get_hit,8,256,100663290,92.2,224.3,0.411,3.6810,0.0000,1.5504,4.2145
hashbrown,get_miss,8,256,100663290,93.6,132.8,0.705,3.0597,0.0000,0.6934,2.8191
std,get_hit,8,256,100663290,79.9,182.9,0.437,3.6851,0.0000,1.7281,4.1812
std,get_miss,8,256,100663290,83.6,113.9,0.734,3.0421,0.0000,0.5367,2.8048
